01/18/2016,12:01:08,RVG10405,30,9,3E8CADDB574A4E4A
01/18/2016,08:01:06,RVG10402,30,9,3E8CADDF4A674E4A
01/18/2016,16:01:03,RVG10402,30,9,3E8CADF935024E4A
01/18/2016,06:01:19,RVG10402,30,9,3E8CADEFC9EF4E4A
01/18/2016,06:01:49,RVG10402,30,10,3E8CADE945914E4A
01/18/2016,15:01:22,RVG10404,30,10,3E8CADEEDC244E4A
01/18/2016,10:01:04,RVG10505,31,9,3E8CADD98AEF4E4A
01/18/2016,16:01:10,RVG10505,31,10,3E8CADEAA6A54E4A
01/18/2016,16:01:10,RVG10505,31,9,3E8CADEAA6A54E4A
01/18/2016,17:01:00,RVG10504,31,10,3E8CADF990EE4E4A
